Sample	Step	Total_Reads	Total_Bases	Reads_pe	Bases_pe	Reads_se	Bases_se	Timestamp
BSEL-pool2	raw	44615291.0	22012177920	44615291.0	22012177920	0	0	2017-12-22-10:44:45
BSEL-pool2	deduplicated	44535242.0	21979012409	44535242.0	21979012409	0	0	2018-01-02-10:06:57
BSEL-pool2	filtered	44525823.0	21908259082	44464266.0	21894066507	61557	14192575	2018-01-03-10:27:38
BSEL-pool2	clean	44325660.0	21825789207	44325660.0	21825789207	0	0	2018-01-04-09:20:55
BSEL-pool2	QC	44387146.0	21839967255	44325660.0	21825789207	61486	14178048	2018-01-04-09:20:54
BSEL-pool1	raw	40504112.0	19913641109	40504112.0	19913641109	0	0	2017-12-22-10:44:45
BSEL-pool1	deduplicated	40427105.0	19881909051	40427105.0	19881909051	0	0	2018-01-02-09:59:43
BSEL-pool1	filtered	40297771.0	19689122832	39957952.0	19605851309	339819	83271523	2018-01-02-10:33:29
BSEL-pool1	clean	40132807.0	19608179970	39793069.0	19524924937	339738	83255033	2018-01-02-10:49:02
BSEL-pool1	QC	40132807.0	19608179970	39793069.0	19524924937	339738	83255033	2018-01-03-10:15:54
BSEL-pool3	raw	40327865.0	19986917413	40327865.0	19986917413	0	0	2017-12-22-10:36:29
BSEL-pool3	deduplicated	40278744.0	19964719306	40278744.0	19964719306	0	0	2018-01-02-10:13:59
BSEL-pool3	filtered	40271979.0	19901092710	40216532.0	19888223767	55447	12868943	2018-01-03-10:39:46
BSEL-pool3	clean	40070769.0	19816145500	40070769.0	19816145500	0	0	2018-01-04-10:31:50
BSEL-pool3	QC	40126157.0	19829002338	40070769.0	19816145500	55388	12856838	2018-01-04-11:49:35
BSEL-pool4	raw	39783801.0	19688704148	39783801.0	19688704148	0	0	2017-12-22-10:39:07
BSEL-pool4	deduplicated	39716311.0	19658119541	39716311.0	19658119541	0	0	2018-01-02-10:20:19
BSEL-pool4	filtered	39710458.0	19599285519	39667462.0	19589504547	42996	9780972	2018-01-04-09:25:35
BSEL-pool4	clean	39534722.0	19523945868	39534722.0	19523945868	0	0	2018-01-04-10:31:51
BSEL-pool4	QC	39577658.0	19533714969	39534722.0	19523945868	42936	9769101	2018-01-04-11:49:32
