Bin Id	Marker lineage	# genomes	# markers	# marker sets	0	1	2	3	4	5+	Completeness	Contamination	Strain heterogeneity
BSEL-pool3.001	f__Spirochaetaceae (UID2535)	33	249	143	12	234	3	0	0	0	94.44	2.10	0.00
BSEL-pool3.002	root (UID1)	5656	56	24	56	0	0	0	0	0	0.00	0.00	0.00
BSEL-pool3.003	k__Bacteria (UID2569)	434	278	186	49	215	14	0	0	0	77.04	5.86	78.57
BSEL-pool3.004	k__Bacteria (UID2569)	434	278	186	1	264	13	0	0	0	99.46	4.35	0.00
BSEL-pool3.005	o__Clostridiales (UID1212)	172	263	149	9	254	0	0	0	0	94.97	0.00	0.00
BSEL-pool3.006	k__Bacteria (UID2982)	88	230	148	22	202	6	0	0	0	86.46	2.90	0.00
BSEL-pool3.007	k__Bacteria (UID2982)	88	230	148	15	213	2	0	0	0	90.54	0.72	50.00
BSEL-pool3.008	o__Selenomonadales (UID1024)	64	334	167	39	280	13	2	0	0	90.90	5.00	47.37
BSEL-pool3.009	f__Spirochaetaceae (UID2535)	33	249	143	148	96	5	0	0	0	38.13	1.60	60.00
BSEL-pool3.010	k__Bacteria (UID2495)	2993	142	88	6	132	4	0	0	0	94.25	3.51	25.00
BSEL-pool3.011	f__Spirochaetaceae (UID2535)	33	249	143	0	235	14	0	0	0	100.00	5.75	28.57
BSEL-pool3.012	k__Bacteria (UID2495)	2993	143	89	30	111	2	0	0	0	82.77	1.69	0.00
BSEL-pool3.013	k__Bacteria (UID203)	5449	100	55	75	24	1	0	0	0	36.12	1.82	100.00
BSEL-pool3.014	k__Bacteria (UID203)	5449	104	58	0	84	19	1	0	0	100.00	9.80	22.73
BSEL-pool3.015	k__Bacteria (UID203)	5449	104	58	1	51	18	14	20	0	98.28	53.14	26.11
BSEL-pool3.016	k__Bacteria (UID2982)	88	230	148	18	206	6	0	0	0	88.51	2.77	0.00
BSEL-pool3.017	o__Clostridiales (UID1120)	304	250	143	103	139	8	0	0	0	57.82	3.90	25.00
BSEL-pool3.018	o__Clostridiales (UID1212)	172	263	149	18	242	3	0	0	0	90.27	0.67	0.00
BSEL-pool3.019	f__Spirochaetaceae (UID2535)	33	249	143	3	235	11	0	0	0	98.95	4.25	0.00
BSEL-pool3.020	o__Selenomonadales (UID1024)	64	334	167	176	132	25	1	0	0	39.54	8.21	25.00
BSEL-pool3.021	c__Clostridia (UID1118)	387	223	124	77	99	41	6	0	0	64.28	28.92	37.29
BSEL-pool3.022	k__Bacteria (UID2982)	88	230	148	36	191	3	0	0	0	78.72	1.69	0.00
BSEL-pool3.023	k__Bacteria (UID2982)	88	230	148	26	192	11	1	0	0	84.09	5.50	7.14
BSEL-pool3.024	k__Bacteria (UID203)	5449	104	58	82	21	1	0	0	0	23.35	0.16	100.00
BSEL-pool3.025	k__Bacteria (UID203)	5449	103	57	96	7	0	0	0	0	10.53	0.00	0.00
BSEL-pool3.026	o__Clostridiales (UID1120)	304	250	143	62	171	14	3	0	0	81.70	8.92	34.78
BSEL-pool3.027	p__Bacteroidetes (UID2605)	350	316	210	2	305	9	0	0	0	99.05	2.49	0.00
BSEL-pool3.028	k__Bacteria (UID209)	5443	105	59	0	105	0	0	0	0	100.00	0.00	0.00
BSEL-pool3.029	k__Bacteria (UID203)	5449	104	58	69	35	0	0	0	0	34.12	0.00	0.00
