contig	orf	taxonomy	erfc	orf_taxonomy	refseq_product	refseq_evalue	refseq_bitscore
k81_7600	k81_7600_1		1.0	root	hypothetical protein	NA	NA
k81_5516	k81_5516_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroides vulgatus	response regulator	9.2e-33	146.7
k81_5516	k81_5516_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Coprobacter secundus	sigma-54-dependent Fis family transcriptional regulator	1.1e-59	236.9
k81_6659	k81_6659_1	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	1	Veillonella parvula	phage-related protein	7.0e-31	141.0
k81_6659	k81_6659_2	k__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales;f__Veillonellaceae;g__Veillonella;s__Veillonella parvula	1	root	hypothetical protein	NA	NA
k81_6976	k81_6976_2		1.0	root	hypothetical protein	NA	NA
k81_8068	k81_8068_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: hypothetical protein	5.9e-108	397.9
k81_7058	k81_7058_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. KHD1	1	Prevotella sp. KHD1	DNA topoisomerase I	2.4e-53	215.7
k81_7058	k81_7058_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella sp. KHD1	1	root	hypothetical protein	NA	NA
k81_4136	k81_4136_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella oryzae	argininosuccinate lyase	1.6e-132	479.9
k81_4136	k81_4136_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella	0.09589096714246548	Prevotella copri	hypothetical protein	6.4e-75	287.7
k81_8191	k81_8191_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	exonuclease SbcC	1.5e-141	510.0
k81_410	k81_410_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella albensis	1	Prevotella albensis	membrane protein	6.5e-177	628.2
k81_8774	k81_8774_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	peptidase S9	4.3e-188	664.8
k81_8536	k81_8536_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	2.6e-49	202.2
k81_1495	k81_1495_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	arginine repressor	1.0e-57	230.3
k81_7961	k81_7961_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	membrane protein	6.4e-58	231.1
k81_7961	k81_7961_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	5-(carboxyamino)imidazole ribonucleotide mutase	3.3e-86	325.5
k81_500	k81_500_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	glycosyl hydrolase family 25	2.4e-166	592.4
k81_500	k81_500_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	50S ribosomal protein L11 methyltransferase	9.7e-29	133.3
k81_6693	k81_6693_1		1.0	root	hypothetical protein	NA	NA
k81_9291	k81_9291_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	VirE protein	1.8e-103	383.6
k81_2122	k81_2122_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: two-component sensor histidine kinase	9.3e-71	273.9
k81_3618	k81_3618_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	8.1e-67	260.8
k81_7612	k81_7612_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella timonensis	1	Prevotella timonensis	conjugal transfer protein	1.9e-112	413.3
k81_6863	k81_6863_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	1	Bacteroidales	MULTISPECIES: conjugal transfer protein TraC	1.3e-116	426.8
k81_3952	k81_3952_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: transporter	3.0e-136	492.3
k81_9709	k81_9709_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: phosphoglycerol transferase	1.1e-138	500.4
k81_2784	k81_2784_1		1.0	root	hypothetical protein	NA	NA
k81_8056	k81_8056_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	hypothetical protein	2.4e-90	339.3
k81_8056	k81_8056_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella albensis	hypothetical protein	3.4e-175	622.1
k81_8056	k81_8056_3	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.5599458008536309	Prevotella copri	nitrogen-fixing protein NifU	8.2e-125	454.1
k81_4381	k81_4381_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	membrane protein	3.8e-176	625.2
k81_5202	k81_5202_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	DNA mismatch repair protein MutS	1.3e-254	886.3
k81_5202	k81_5202_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	transcription elongation factor GreA	4.0e-78	298.5
k81_443	k81_443_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: adenylosuccinate lyase	1.1e-81	310.5
k81_8233	k81_8233_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	two-component sensor histidine kinase	2.7e-113	416.0
k81_8233	k81_8233_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	root	hypothetical protein	NA	NA
k81_10153	k81_10153_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	starch-binding protein	2.9e-194	685.6
k81_5308	k81_5308_1		1.0	root	hypothetical protein	NA	NA
k81_5308	k81_5308_2		1.0	root	hypothetical protein	NA	NA
k81_1596	k81_1596_1		1.0	root	hypothetical protein	NA	NA
k81_1596	k81_1596_2		1.0	root	hypothetical protein	NA	NA
k81_9474	k81_9474_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	1	Bacteroidales	MULTISPECIES: hypothetical protein	6.0e-70	271.2
k81_8143	k81_8143_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	1	Prevotella copri	hypothetical protein	9.0e-209	733.8
k81_1911	k81_1911_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides coprophilus	1	Bacteroides coprophilus	hypothetical protein	3.4e-70	273.5
k81_6321	k81_6321_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides	1	Bacteroides	MULTISPECIES: membrane protein	7.3e-74	284.3
k81_3047	k81_3047_1		1.0	root	hypothetical protein	NA	NA
k81_3047	k81_3047_2		1.0	root	hypothetical protein	NA	NA
k81_7040	k81_7040_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	diaminopimelate epimerase	3.3e-58	231.9
k81_7040	k81_7040_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella copri	0.09589096714246548	Prevotella copri	nitrogen regulatory protein P-II	1.9e-26	125.6
k81_6854	k81_6854_1	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroidales	MULTISPECIES: hypothetical protein	1.8e-40	172.6
k81_6854	k81_6854_2	k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales	0.09589096714246548	Bacteroides fragilis	hypothetical protein, partial	1.8e-29	135.6
