ko_id	ko_ec	taxonomy_phylum	count
K00031	1.1.1.42	k__Bacteria;p__Bacteroidetes	163
K00208	1.3.1.9,1.3.1.10	k__Bacteria;p__Bacteroidetes	100
K00767	2.4.2.19	k__Bacteria;p__Bacteroidetes	73
K00784	3.1.26.11	k__Bacteria;p__Bacteroidetes	72
K00826	2.6.1.42	k__Bacteria;p__Bacteroidetes	54
K00971	2.7.7.13	k__Bacteria;p__Bacteroidetes	65
K01006	2.7.9.1	k__Bacteria;p__Bacteroidetes	177
K01187	3.2.1.20	k__Bacteria;p__Bacteroidetes	91
K01190	3.2.1.23	k__Bacteria;p__Bacteroidetes	267
K01676	4.2.1.2	k__Bacteria;p__Bacteroidetes	67
K01696	4.2.1.20	k__Bacteria;p__Bacteroidetes	68
K01733	4.2.3.1	k__Bacteria;p__Bacteroidetes	82
K01835	5.4.2.2	k__Bacteria;p__Bacteroidetes	82
K01915	6.3.1.2	k__Bacteria;p__Verrucomicrobia	17
K01940	6.3.4.5	k__Bacteria;p__Bacteroidetes	45
K02013	3.6.3.34	k__Bacteria;p__Bacteroidetes	41
K02112	3.6.3.14	k__Bacteria;p__Bacteroidetes	59
K02564	3.5.99.6	k__Bacteria;p__Bacteroidetes	63
K07248	1.2.1.22,1.2.1.21	k__Bacteria;p__Bacteroidetes	36
K12373	3.2.1.52	k__Bacteria;p__Bacteroidetes	17
